Type,Time,Bid,Ask,Volume
Tick,2024-10-13 22:00:45.232000+00:00,2655.01,2655.45,
Tick,2024-10-13 22:00:45.533000+00:00,2654.78,2655.71,
Tick,2024-10-13 22:00:45.933000+00:00,2654.79,2655.66,
Tick,2024-10-13 22:00:46.133000+00:00,2654.77,2655.64,
Tick,2024-10-13 22:00:46.333000+00:00,2654.76,2655.66,
Tick,2024-10-13 22:00:46.634000+00:00,2654.78,2655.69,
Tick,2024-10-13 22:00:46.733000+00:00,2654.81,2655.68,
Tick,2024-10-13 22:00:48.135000+00:00,2655.01,2655.45,
Tick,2024-10-13 22:00:48.234000+00:00,2655.06,2655.5,
Tick,2024-10-13 22:00:48.734000+00:00,2654.81,2655.73,
Tick,2024-10-13 22:00:49.237000+00:00,2654.78,2655.7,
Tick,2024-10-13 22:00:49.735000+00:00,2654.8,2655.72,
Tick,2024-10-13 22:00:49.836000+00:00,2654.79,2655.71,
Tick,2024-10-13 22:00:50.336000+00:00,2654.78,2655.74,
Tick,2024-10-13 22:00:55.945000+00:00,2654.8,2655.88,
Tick,2024-10-13 22:00:56.044000+00:00,2655.07,2655.49,
Tick,2024-10-13 22:00:56.145000+00:00,2655.1,2655.53,
Tick,2024-10-13 22:00:56.245000+00:00,2654.81,2655.75,
Tick,2024-10-13 22:00:56.345000+00:00,2655.01,2655.51,
Tick,2024-10-13 22:00:56.545000+00:00,2654.95,2655.52,
Tick,2024-10-13 22:01:00.064000+00:00,2654.71,2655.21,
Tick,2024-10-13 22:01:00.169000+00:00,2654.46,2654.93,
Tick,2024-10-13 22:01:00.185000+00:00,2653.96,2654.89,
Tick,2024-10-13 22:01:00.266000+00:00,2653.58,2654.72,
Tick,2024-10-13 22:01:00.464000+00:00,2653.32,2654.44,
Tick,2024-10-13 22:01:00.665000+00:00,2653.04,2654.19,
Tick,2024-10-13 22:01:00.668000+00:00,2652.78,2653.9,
Tick,2024-10-13 22:01:00.703000+00:00,2652.5,2653.65,
Tick,2024-10-13 22:01:00.764000+00:00,2652.48,2653.63,
Tick,2024-10-13 22:01:00.867000+00:00,2652.24,2653.39,
Tick,2024-10-13 22:01:00.965000+00:00,2652.23,2653.36,
Tick,2024-10-13 22:01:01.065000+00:00,2652.09,2653.22,
Tick,2024-10-13 22:01:01.168000+00:00,2652.53,2653.31,
Tick,2024-10-13 22:01:01.205000+00:00,2652.57,2653.35,
Tick,2024-10-13 22:01:01.268000+00:00,2652.58,2653.14,
Tick,2024-10-13 22:01:01.656000+00:00,2652.38,2653.5,
Tick,2024-10-13 22:01:01.705000+00:00,2652.44,2653.57,
Tick,2024-10-13 22:01:01.796000+00:00,2652.45,,
Tick,2024-10-13 22:01:01.801000+00:00,2652.52,2653.55,
Tick,2024-10-13 22:01:01.898000+00:00,2652.45,2653.57,
Tick,2024-10-13 22:01:01.913000+00:00,2652.28,2653.41,
Tick,2024-10-13 22:01:01.997000+00:00,2652.39,2653.52,
Tick,2024-10-13 22:01:02.003000+00:00,2652.47,2653.61,
Tick,2024-10-13 22:01:02.172000+00:00,2652.67,2653.39,
Tick,2024-10-13 22:01:02.199000+00:00,2652.85,2653.75,
Tick,2024-10-13 22:01:02.213000+00:00,2652.91,2653.81,
Tick,2024-10-13 22:01:02.300000+00:00,2652.74,2653.43,
Tick,2024-10-13 22:01:02.313000+00:00,2652.67,2653.41,
Tick,2024-10-13 22:01:02.400000+00:00,2652.81,2653.4,
Tick,2024-10-13 22:01:02.500000+00:00,2652.83,2653.47,
Tick,2024-10-13 22:01:02.602000+00:00,2652.92,2653.53,
Tick,2024-10-13 22:01:02.700000+00:00,2652.8,2653.39,
Tick,2024-10-13 22:01:02.799000+00:00,2653,2653.52,
Tick,2024-10-13 22:01:03+00:00,2652.99,,
Tick,2024-10-13 22:01:03.100000+00:00,2653,,
Tick,2024-10-13 22:01:04.306000+00:00,2652.43,2653.56,
Tick,2024-10-13 22:01:04.332000+00:00,2652.52,2653.24,
Tick,2024-10-13 22:01:04.406000+00:00,,2653.19,
Tick,2024-10-13 22:01:04.504000+00:00,2652.61,2653.27,
Tick,2024-10-13 22:01:04.604000+00:00,2652.77,2653.37,
Tick,2024-10-13 22:01:04.703000+00:00,2652.96,2653.73,
Tick,2024-10-13 22:01:04.752000+00:00,2653.1,2653.84,
Tick,2024-10-13 22:01:04.804000+00:00,2653.25,2653.99,
Tick,2024-10-13 22:01:04.905000+00:00,2653.04,2653.67,
Tick,2024-10-13 22:01:04.908000+00:00,2653,2653.63,
Tick,2024-10-13 22:01:04.998000+00:00,2653.07,2653.91,
Tick,2024-10-13 22:01:05.004000+00:00,,2654.02,
Tick,2024-10-13 22:01:05.106000+00:00,2653.34,2654.28,
Tick,2024-10-13 22:01:05.110000+00:00,2653.41,2654.36,
Tick,2024-10-13 22:01:05.205000+00:00,2653.55,2654.46,
Tick,2024-10-13 22:01:05.308000+00:00,2653.34,2654.25,
Tick,2024-10-13 22:01:05.412000+00:00,2653.57,2654.33,
Tick,2024-10-13 22:01:05.513000+00:00,2653.39,2654.26,
Tick,2024-10-13 22:01:05.711000+00:00,2653.44,2654.29,
Tick,2024-10-13 22:01:05.812000+00:00,2653.58,2654.31,
Tick,2024-10-13 22:01:06.416000+00:00,2653.53,2654.28,
Tick,2024-10-13 22:01:06.516000+00:00,2653.58,2654.32,
Tick,2024-10-13 22:01:07.223000+00:00,,2654.31,
Tick,2024-10-13 22:01:07.824000+00:00,2653.53,2654.28,
Tick,2024-10-13 22:01:07.927000+00:00,2653.54,2654.32,
Tick,2024-10-13 22:01:08.025000+00:00,2653.49,2654.29,
Tick,2024-10-13 22:01:08.126000+00:00,2653.53,2654.28,
Tick,2024-10-13 22:01:08.224000+00:00,2653.5,2654.2,
Tick,2024-10-13 22:01:08.324000+00:00,2653.53,2654.21,
Tick,2024-10-13 22:01:08.626000+00:00,2653.51,2654.2,
Tick,2024-10-13 22:01:08.726000+00:00,2653.57,2654.21,
Tick,2024-10-13 22:01:09.132000+00:00,2653.59,2654.19,
Tick,2024-10-13 22:01:09.229000+00:00,2653.61,2654.25,
Tick,2024-10-13 22:01:09.733000+00:00,2653.24,2654.08,
Tick,2024-10-13 22:01:09.757000+00:00,2653.16,2654,
Tick,2024-10-13 22:01:09.833000+00:00,2652.92,2654.05,
Tick,2024-10-13 22:01:09.934000+00:00,2652.95,2654.08,
Tick,2024-10-13 22:01:10.439000+00:00,2652.91,2654.04,
Tick,2024-10-13 22:01:10.539000+00:00,2652.66,2653.82,
Tick,2024-10-13 22:01:10.544000+00:00,2652.59,2653.74,
Tick,2024-10-13 22:01:11.156000+00:00,2652.43,2653.56,
Tick,2024-10-13 22:01:11.243000+00:00,2652.17,2653.3,
Tick,2024-10-13 22:01:11.254000+00:00,2652.33,2653.13,
Tick,2024-10-13 22:01:11.343000+00:00,2652.17,2653.17,
Tick,2024-10-13 22:01:11.443000+00:00,2652.38,2653.52,
Tick,2024-10-13 22:01:11.459000+00:00,2652.43,2653.57,
Tick,2024-10-13 22:01:11.545000+00:00,2652.29,2653.43,
Tick,2024-10-13 22:01:11.644000+00:00,2652.17,2653.29,
Tick,2024-10-13 22:01:11.697000+00:00,2652.31,2653.44,
Tick,2024-10-13 22:01:12.032000+00:00,2652.14,2653.27,
Tick,2024-10-13 22:01:12.046000+00:00,2652.13,2653.26,
Tick,2024-10-13 22:01:12.147000+00:00,2652.16,2652.85,
Tick,2024-10-13 22:01:12.277000+00:00,2652.21,2652.84,
Tick,2024-10-13 22:01:12.426000+00:00,2652.26,2652.89,
Tick,2024-10-13 22:01:12.446000+00:00,2652.25,2652.83,
Tick,2024-10-13 22:01:12.511000+00:00,2652.2,2652.85,
Tick,2024-10-13 22:01:12.722000+00:00,2651.85,2652.97,
Tick,2024-10-13 22:01:12.750000+00:00,2651.98,2652.58,
Tick,2024-10-13 22:01:12.852000+00:00,2652,2652.51,
Tick,2024-10-13 22:01:12.922000+00:00,2652.07,2652.59,
Tick,2024-10-13 22:01:15.524000+00:00,2652.06,2652.62,
Tick,2024-10-13 22:01:15.575000+00:00,2652.05,2652.72,
Tick,2024-10-13 22:01:15.772000+00:00,,2652.64,
Tick,2024-10-13 22:01:17.552000+00:00,2651.82,2652.94,
Tick,2024-10-13 22:01:19.141000+00:00,2652.07,2652.63,
Tick,2024-10-13 22:01:19.310000+00:00,2651.89,2653.01,
Tick,2024-10-13 22:01:20.064000+00:00,2652.03,2652.66,
Tick,2024-10-13 22:01:22.111000+00:00,2652.04,2652.6,
Tick,2024-10-13 22:01:22.794000+00:00,2651.95,2652.65,
Tick,2024-10-13 22:01:22.814000+00:00,2651.88,2652.71,
Tick,2024-10-13 22:01:22.844000+00:00,2651.46,2652.59,
Tick,2024-10-13 22:01:22.913000+00:00,2651.18,2652.33,
Tick,2024-10-13 22:01:22.994000+00:00,2651.04,2652.18,
Tick,2024-10-13 22:01:23.016000+00:00,2651.1,2652.23,
